time_sec,previous_shot_duration,change_type
0.00,,
2.43,2.43,subject-action-change
6.47,4.04,detail-insert-change
7.90,1.43,composition-change
11.40,3.50,subject-action-change
14.00,2.60,detail-insert-change
17.17,3.17,composition-change
18.80,1.63,subject-action-change
27.83,9.03,detail-insert-change
33.73,5.90,composition-change
36.07,2.34,subject-action-change
39.63,3.56,detail-insert-change
42.73,3.10,composition-change
46.23,3.50,subject-action-change
50.20,3.97,detail-insert-change
52.43,2.23,composition-change
55.53,3.10,subject-action-change
61.77,6.24,detail-insert-change
64.37,2.60,composition-change
70.07,5.70,subject-action-change
72.90,2.83,detail-insert-change
76.67,3.77,composition-change
78.67,2.00,subject-action-change
81.23,2.56,detail-insert-change
83.50,2.27,composition-change
86.73,3.23,subject-action-change
89.40,2.67,detail-insert-change
93.57,4.17,composition-change
96.50,2.93,subject-action-change
98.90,2.40,detail-insert-change
102.40,3.50,composition-change
105.43,3.03,subject-action-change
108.90,3.47,detail-insert-change
111.77,2.87,composition-change
116.50,4.73,subject-action-change
119.87,3.37,detail-insert-change
139.53,19.66,composition-change
141.73,2.20,subject-action-change
145.37,3.64,detail-insert-change
155.83,10.46,composition-change
166.50,10.67,subject-action-change
170.13,3.63,detail-insert-change
